허가일자,의료기관명,대표자,종류,설립구분,주소,전화번호
2019-01-02,제천은혜요양병원,기정일,요양병원(일반요양병원),개인,충청북도 제천시 의림대로 17-0 (영천동),043-647-8275
2018-11-14,재단법인베스티안재단베스티안병원,김경식,종합병원,재단법인,충청북도 청주시 흥덕구 오송읍 오송생명1로 191-0,043-910-7575
2018-10-01,김앤권병원,김태진,병원,개인,충청북도 충주시 번영대로 239-0 (연수동),043-848-1123
2018-09-05,청주자생한방병원,박병모,한방병원,재단법인,"충청북도 청주시 상당구 상당로 66-0 (문화동, (문화동))",043-901-0402
2018-09-03,올리브한방병원,김종철,한방병원,개인,"충청북도 청주시 흥덕구 사직대로 38-0 (복대동,포빌)",043-265-1075
2018-06-01,의료법인홍익의료재단파스카요양병원,이정일,요양병원(일반요양병원),의료법인,충청북도 청주시 청원구 내수읍 마산길 8-11,043-900-1004
2018-04-27,남궁요양병원,노요안,요양병원(일반요양병원),개인,"충청북도 청주시 상당구 상당로 47-0 (남문로2가, (남문로2가))",043-252-3000
2018-04-09,의료법인청진의료재단디에스요양병원,민동식,요양병원(일반요양병원),의료법인,"충청북도 증평군 증평읍 중앙로 114-0 ((3,4,5층))",043-909-9100
2018-01-10,청주나비솔한방병원,류정만,한방병원,개인,"충청북도 청주시 서원구 산남로 56-0 (산남동,에버프라자)",043-286-7700
2018-01-10,의료법인송암의료재단마이크로재활병원,민지홍,병원,의료법인,"충청북도 청주시 흥덕구 사직대로 26-0 (복대동, (복대동))",043-265-0051
2017-11-07,마디사랑병원,변재용,병원,개인,"충청북도 청주시 상당구 상당로 112-0 (북문로2가, (북문로2가))",043-298-9988
2017-11-03,에이라인치과병원,이재준,치과병원,개인,"충청북도 청주시 흥덕구 강서로 115-1 (강서동, (강서동))",043-263-3333
2017-07-24,의료법인 하람의료재단 청주탑요양병원,김정규,요양병원(일반요양병원),의료법인,"충청북도 청주시 서원구 궁뜰로 16-0 (미평동, (미평동))",043-296-5000
2017-06-02,청주삼성병원,손태옥,병원,개인,"충청북도 청주시 서원구 청남로 2014-0 (분평동, 3~8층 (분평동))",043-223-8124
2016-12-28,제천우석요양병원,유재형,요양병원(일반요양병원),개인,"충청북도 제천시 풍양로 89-0 (중앙로1가, (중앙로1가))",043-642-4000
2016-12-02,목토한방병원,강현빈,한방병원,개인,충청북도 제천시 봉양읍 옥전1길 7-0,043-653-6555
2016-10-25,경희보리수 한방병원,최재승,한방병원,개인,"충청북도 청주시 서원구 사직대로 140, 201호 (사창동,현대코아)",043-264-5577
2016-08-25,청주시립요양병원,청주시장,요양병원(일반요양병원),공립(시군구립),"충청북도 청주시 서원구 궁뜰로62번길 29-0 (장성동,청주시노인전문병원)",043-220-8000
2016-07-28,의료법인 문화의료재단 문화실버요양병원,우종희,요양병원(일반요양병원),의료법인,"충청북도 충주시 국원대로 6-0 (문화동, (문화동))",043-854-8802
2016-06-17,첼로병원,기영진,병원,개인,"충청북도 청주시 청원구 향군로 132-0 (내덕동, (내덕동))",043-211-9090
2016-04-08,의료법인 청진의료재단 디에스병원,민동식,병원,의료법인,"충청북도 증평군 증평읍 중앙로 114-0 ((지하1층,지상1,2,6층))",043-909-9000
2016-03-25,의료법인 청미의료재단 청미요양병원,김현기,요양병원(일반요양병원),의료법인,충청북도 음성군 감곡면 장감로 118-1,043-883-2449
2016-03-04,뿌리병원,이신노,병원,개인,"충청북도 청주시 청원구 내덕로 56-0 (내덕동, (내덕동))",043-221-0119
2016-01-18,예미담요양병원,오종현,요양병원(일반요양병원),개인,"충청북도 청주시 청원구 충청대로 100-0 (율량동, (율량동))",043-215-7075
2015-10-27,의료법인 자산의료재단 제천서울요양병원,박미령,요양병원(일반요양병원),의료법인,충청북도 제천시 동명로 67-0 (명동),043-642-8605
2015-08-25,의료법인샘의료재단청주복음병원,남태현,병원,의료법인,"충청북도 청주시 서원구 사직대로 160-0 (사창동,두진하트리움에덴)",043-264-1000
2015-04-01,서울더블유치과병원,손효정,치과병원,개인,"충청북도 충주시 봉계1길 42 (봉방동, (봉방동))",043-852-7528
2015-01-24,의료법인우준의료재단증평미래병원,정상진,병원,의료법인,충청북도 증평군 증평읍 중부로 2465-0,043-930-3100
2015-01-20,의료법인원광의료재단청주원광효도요양병원,오성배,요양병원(일반요양병원),의료법인,"충청북도 청주시 흥덕구 월명로 15-0 (복대동,원광효도요양병원)",043-267-0301
2015-01-05,의료법인 태종의료재단 음성요양병원,양선승,요양병원(일반요양병원),의료법인,충청북도 음성군 음성읍 시장로126번길 9-0,043-871-9900
2014-08-29,아이웰어린이병원,김염,병원,개인,"충청북도 청주시 청원구 주성로 273-0 (주성동, (주성동))",043-288-3535
2014-08-11,청주프라임병원,정범영,병원,개인,충청북도 청주시 흥덕구 짐대로72번길 37-0 (복대동),043-1899-8523
2015-10-05,다나여성병원,신서규,병원,개인,"충청북도 청주시 청원구 충청대로 179-0 (주중동,청주다나여성병원)",043-218-3575
2014-04-09,의료법인 제이원의료재단 큰나무요양병원,전하람,요양병원(일반요양병원),의료법인,충청북도 청주시 흥덕구 풍년로193번길 15-0 (가경동),043-231-0200
2013-12-30,서원요양병원,김태균,요양병원(일반요양병원),개인,충청북도 청주시 서원구 남이면 남석로 316-26 (서원요양병원),043-233-6000
2013-12-18,의료법인 노은의료재단 도은병원,박상현,정신병원,의료법인,충청북도 진천군 문백면 문진로 88-56 (도은병원),043-930-2000
2013-11-13,의료법인 성지의료재단 제천성지병원,안재홍,병원,의료법인,"충청북도 제천시 의림대로 284-0 (청전동, (청전동))",043-640-3814
2013-10-21,의료법인 노은의료재단 효담요양병원,박상현,요양병원(일반요양병원),의료법인,충청북도 진천군 문백면 문진로 88-56,043-930-0961
2013-10-07,청주소아청소년병원,신경식,병원,개인,충청북도 청주시 흥덕구 사운로 292-0 (운천동),043-225-7700
2013-08-16,의료법인 순원의료재단 굿모닝요양병원,조덕환,요양병원(일반요양병원),의료법인,충청북도 음성군 대소면 대금로 532-0,043-878-8600
2013-08-14,음성한국의료소비자생활협동조합 음성한국요양병원,정승원,요양병원(일반요양병원),의료소비자생활협동조합,충청북도 음성군 금왕읍 무극로285번길 12,043-882-5851
2013-05-14,남궁병원,노요안,병원,개인,충청북도 청주시 상당구 상당로 47 (남문로2가),043-252-3000
2012-11-22,청주첨단한방병원,김동현,한방병원,개인,"충청북도 청주시 상당구 영운로 160-1 (서운동, (서운동))",043-717-0001
2012-11-20,청주아이엠재활요양병원,우봉식,병원,개인,충청북도 청주시 서원구 청남로 2140 (모충동),043-284-0675
2012-09-12,의료법인조윤의료재단 감고을요양병원,윤왕영,요양병원(일반요양병원),의료법인,충청북도 영동군 영동읍 대학로 106-0,043-740-9100
1987-02-28,충청북도 충주의료원,윤창규,종합병원,공립(지방의료원),"충청북도 충주시 안림로 239-50 (안림동,충청북도충주의료원)",043-871-0114
2012-02-06,의료법인 계룡의료재단 증평계룡병원,용석열,병원,의료법인,충청북도 증평군 증평읍 중부로 2465,043-838-9119
2009-09-18,의료법인 대광의료재단 괴산성모병원,나숙연,병원,의료법인,충청북도 괴산군 괴산읍 임꺽정로 116-0 (괴산성모병원),043-830-5400
2011-12-07,의료법인 도담의료재단 휴향요양병원,장영아,요양병원(일반요양병원),의료법인,충청북도 옥천군 옥천읍 청풍로 267-14,043-733-6604
2011-11-14,씨엔씨푸른병원,황찬호,병원,개인,"충청북도 청주시 흥덕구 2순환로 1234-0 (강서동, (강서동))",043-291-8114
2011-06-17,내토의료소비자생활협동조합햇살요양병원,임환우,요양병원(일반요양병원),특수법인,충청북도 제천시 동명로 67 (명동),043-642-9513
2011-04-08,새빛병원,홍정훈,병원,개인,충청북도 청주시 서원구 서부로 1350 (성화동),043-234-7509
2011-03-15,의료법인 명지의료재단 명지병원,이왕준,종합병원,의료법인,"충청북도 제천시 내토로 991-0 (고암동,의료법인명지의료재단명지병원)",043-640-8114
2011-03-07,의료법인 동숙의료재단 벧엘기독병원,김동숙,정신병원,의료법인,충청북도 괴산군 문광면 흑석2길 20-148 (벧엘기독병원),043-833-1004
2011-02-21,아이엠재활병원,우봉식,병원,개인,"충청북도 청주시 서원구 청남로 2140-0 (모충동, (모충동))",043-284-0675
2011-01-10,의료법인거서의료재단음성메디시티병원,임영순,병원,의료법인,충청북도 음성군 음성읍 시장로126번길 9,043-871-9999
2010-11-01,이화의료소비자생활협동조합괴산이화병원,노정환,요양병원(일반요양병원),개인,충청북도 괴산군 연풍면 수옥정길 10,043-834-8119
2010-09-13,의료법인 요섭의료재단 감람원병원,박영호,정신병원,의료법인,충청북도 옥천군 청성면 청성로 654-1,043-732-2070
2010-07-06,효사랑의료소비자생활협동조합 사랑요양병원,황동선,요양병원(일반요양병원),의료소비자생활협동조합,충청북도 제천시 의림대로 17 (영천동),043-652-6542
2010-02-23,의료법인범곡의료재단제일병원,이영숙,병원,의료법인,충청북도 제천시 의림대로 194 (중앙로2가),043-645-0001
2009-12-23,의료법인 목민의료재단 충주성모요양병원,김인옥,요양병원(일반요양병원),의료법인,충청북도 충주시 앙성면 산전장수2길 55-0,043-844-2000
2009-11-06,카톨릭병원,김지묵,병원,개인,충청북도 청주시 서원구 사직대로 277-0 (사직동),043-274-4401
2009-09-18,의료법인 대광의료재단 괴산성모병원(구/괴산삼성병원),나숙연,병원,의료법인,충청북도 괴산군 괴산읍 임꺽정로 116,043-834-3900
2009-09-11,소망요양병원,정인서,요양병원(일반요양병원),개인,충청북도 청주시 상당구 단재로 132 (영운동),043-255-0126
2009-09-02,의료법인 솔트의료재단 예성요양병원,임은희,요양병원(일반요양병원),의료법인,충청북도 제천시 용두천로 333-0 (청전동),043-653-7700
2009-08-10,청주시노인전문병원,한수환,병원,개인,충청북도 청주시 흥덕구 궁뜰로62번길 29 (장성동),043-220-8000
2009-07-30,서울우리병원,손형권,병원,개인,"충청북도 청주시 흥덕구 서현중로 66 (강서동, (강서동))",043-249-5000
2009-05-08,의료법인 아인의료재단 성암요양병원,민혜정,요양병원(일반요양병원),의료법인,충청북도 보은군 내북면 남부로 6427-27 (병원),043-544-0330
2009-05-01,씨엔씨병원,이지용,병원,개인,"충청북도 청주시 흥덕구 서현북로 83-0 (가경동, (가경동))",043-239-8114
2009-02-04,영동군립노인전문병원,영동군수,요양병원(일반요양병원),공립(시군구립),충청북도 영동군 영동읍 대학로 290,043-744-9633
2008-05-14,의료법인 세종의료재단 세종노인요양병원,안민호,요양병원(일반요양병원),의료법인,충청북도 청주시 흥덕구 2순환로 1265 (가경동),043-238-5656
2008-12-09,국민보건의료소비자생활협동조합 중앙효요양병원,박상준,요양병원(일반요양병원),의료소비자생활협동조합,충청북도 제천시 풍양로 91 (중앙로1가),043-6464-2846
2008-11-07,청주우리병원,오재인,병원,개인,충청북도 청주시 서원구 1순환로 1037 (분평동),043-296-9119
2008-11-14,의료법인브루노의료재단보은요양병원,박태현,요양병원(일반요양병원),의료법인,충청북도 보은군 수한면 후평바리미길 31-0 (노인요양병원),043-544-7114
2008-10-06,서울아동병원,이은애,병원,개인,"충청북도 청주시 흥덕구 가로수로 1317-0 (복대동,서울아동병원)",043-221-1122
2008-09-23,예사랑병원,이상구,정신병원,개인,"충청북도 청주시 상당구 2순환로2031번길 6-9 (방서동, (방서동))",043-298-7337
2008-01-22,의료법인 다원의료재단 영동제일병원,임점식,정신병원,의료법인,충청북도 영동군 양강면 양정죽촌로 53-12 ( ),043-745-3004
2006-03-29,청풍호노인사랑병원,제천시장,요양병원(일반요양병원),공립(시군구립),충청북도 제천시 금성면 청풍호로 1147-0,043-646-0808
2008-04-14,의료법인 건우의료재단 큰사랑요양병원,정기권,요양병원(일반요양병원),의료법인,충청북도 옥천군 옥천읍 중앙로 72-0,043-730-9000
2008-07-30,의료법인 현오의료재단 늘푸른요양병원,이경선,요양병원(일반요양병원),의료법인,충청북도 충주시 앙성면 용당1길 29-0,043-851-8700
2008-07-30,의료법인 한미의료재단 김숙자소아청소년병원,김숙자,병원,의료법인,"충청북도 청주시 흥덕구 직지대로 745-0 (운천동,김숙자소아.청소년병원)",043-263-8280
2005-12-23,의료법인 창민의료재단 제천노인전문요양병원,오만식,요양병원(일반요양병원),의료법인,"충청북도 제천시 북부로13길 94-0 (천남동, (천남동))",043-640-6000
2006-10-27,의료법인 창곡의료재단 참조은요양병원,최종숙,요양병원(일반요양병원),의료법인,충청북도 옥천군 옥천읍 삼양로5길 12-0,043-731-0066
2006-12-18,의료법인 태성의료재단 제일조은병원,천지영,병원,의료법인,충청북도 음성군 금왕읍 음성로1230번길 10-0 ( ),043-883-8800
2008-06-11,의료법인 송원의료재단 송원요양병원,김종순,요양병원(일반요양병원),의료법인,충청북도 충주시 주덕읍 신양로 62-0 ( ),043-856-3501
2007-12-13,오창중앙병원,김용한,병원,개인,충청북도 청주시 청원구 오창읍 중부로 683,043-218-0119
2007-07-09,소망요양병원,정인서,요양병원(일반요양병원),개인,충청북도 청주시 상당구 단재로 132-0 (영운동),043-255-0126
2007-04-03,음성사랑의료생활협동조합 음성사랑요양병원,남진현,요양병원(일반요양병원),의료소비자생활협동조합,충청북도 음성군 대소면 대금로 567-7,043-882-3800
2007-05-01,모태안여성병원,김만기,병원,개인,"충청북도 청주시 서원구 복대로17번길 57-0 (개신동,모태안여성병원)",043-272-0001
2007-12-28,마디사랑병원,변재용,병원,개인,충청북도 청주시 서원구 산남로 56 (산남동),043-298-9988
2007-04-11,괴산병원,이태인,병원,개인,충청북도 괴산군 괴산읍 임꺽정로 108,043-834-3500
2006-12-05,호암병원,노현송,정신병원,개인,"충청북도 충주시 예성로 16 (호암동, (호암동))",043-852-3800
2006-10-20,증평연세병원,이노균,병원,개인,충청북도 증평군 증평읍 중앙로 149-0,043-838-9771
2006-05-25,의료법인 조윤의료재단 영동병원,윤왕영,병원,의료법인,충청북도 영동군 영동읍 대학로 106-0 (영동병원),043-740-9000
2006-04-14,의료법인 명신의료재단 괴산서부병원,박영숙,병원,의료법인,충청북도 괴산군 괴산읍 읍내로 259-0 (서부병원),043-834-8275
2006-01-17,충주현대요양병원,윤희동,요양병원(일반요양병원),개인,충청북도 충주시 연수상가3길 14-0 (연수동),043-857-8009
2006-12-01,주사랑병원,유용진,정신병원,개인,충청북도 청주시 상당구 가덕면 보청대로 4673-61 (주사랑병원),043-286-0692
2005-12-02,의료법인 진천의료재단 진천효병원,조정희,요양병원(일반요양병원),의료법인,충청북도 진천군 이월면 반지길 54-0 (진천효병원),043-537-0035
2005-09-12,청주현대병원,엄성문,병원,개인,충청북도 청주시 흥덕구 비하로 65-0 (비하동),043-237-2114
2005-07-15,영동제일병원,오경식,요양병원(일반요양병원),개인,충청북도 영동군 양강면 양정죽촌로 53-12,043-745-3004
2005-03-14,충주시노인전문병원,충주시장,요양병원(일반요양병원),공립(시군구립),충청북도 충주시 동량면 충원대로 1398-0 (충주시노인전문병원),043-855-9393
2005-01-25,하나노인전문병원,박찬제,요양병원(일반요양병원),개인,"충청북도 청주시 서원구 대림로 431-0 (죽림동,하나노인전문병원)",043-270-8114
2004-07-01,의료법인 청암의료재단 음성연세병원,윤봉식,병원,의료법인,충청북도 음성군 음성읍 예술로 86-9,043-872-4298
2004-06-02,청주소아병원,홍대의,병원,개인,충청북도 청주시 흥덕구 사운로 292 (운천동),043-225-7700
2004-05-03,의료법인 송암의료재단 마이크로병원,민지홍,병원,의료법인,"충청북도 청주시 흥덕구 사직대로 26-0 (복대동, (복대동))",043-265-0071
2004-06-07,단양군립노인요양병원,단양군수,요양병원(일반요양병원),공립(시군구립),충청북도 단양군 단양읍 별곡6길 10-0 (단양군노인요양전문병원),043-423-8844
2003-01-10,의료법인 참사랑재단 참사랑요양병원,최항석,요양병원(일반요양병원),의료법인,"충청북도 청주시 서원구 청남로 1910-0 (미평동, (미평동))",043-298-9100
2002-03-20,의료법인 계룡의료재단 증평계룡병원,이상기,병원,의료법인,충청북도 증평군 증평읍 중부로 2465,043-838-9119
2002-03-15,의료법인 정민의료재단 보은한양병원,김병호,병원,의료법인,충청북도 보은군 보은읍 보은로 102-0,043-544-1500
2001-04-26,의료법인 중원의료재단 충주중앙병원,유희범,병원,의료법인,충청북도 충주시 충인1길 60-0 (충인동),043-856-2100
2001-02-12,충북도립노인전문병원,충청북도지사,요양병원(일반요양병원),공립(시도립),"충청북도 청주시 서원구 청남로 1910-0 (미평동,충북도립노인전문병원)",043-287-7715
2001-09-21,세명대학교 충주한방병원,김형순,한방병원,학교법인,"충청북도 충주시 상방4길 63-0 (봉방동,세명대학교충주한방병원)",043-856-1010
2000-08-11,참조은치과병원,신용문,치과병원,개인,충청북도 청주시 서원구 청남로 1990-0 (분평동),043-296-3500
1989-07-02,의료법인 건명의료재단 중앙제일병원,이희엽,종합병원,의료법인,충청북도 진천군 진천읍 중앙북로 36-0 (진천성모병원),043-533-1711
1999-09-03,공군항공우주의료원,공군항공우주의료원장,병원,군병원,충청북도 청주시 상당구 남일면 단재로 635-0,043-290-5647
1998-06-15,의료법인한마음의료재단하나병원,박중겸,종합병원,의료법인,"충청북도 청주시 흥덕구 2순환로 1262-0 (가경동,하나병원)",043-230-6114
1998-02-21,청주성모병원,김종강,종합병원,재단법인,"충청북도 청주시 청원구 주성로 173-19 (주중동,청주성모병원)",043-219-8000
1998-07-13,초정요양병원,김진성,요양병원(일반요양병원),개인,충청북도 청주시 청원구 내수읍 우산길 91-0,043-213-7123
1998-04-06,의료법인 창민의료재단 제천병원,오만식,정신병원,의료법인,"충청북도 제천시 북부로13길 94-0 (천남동,제천병원)",043-640-6100
1998-04-06,의료법인 현대소망의료재단 현대병원,이강표,정신병원,의료법인,충청북도 음성군 생극면 일생로 516-0 ( ),043-878-4341
1997-08-01,의료법인 혜광의료재단 충북병원,오형진,정신병원,의료법인,충청북도 청주시 서원구 현도면 우록4길 151-0 ( ),043-260-8200
1996-05-14,의료법인 의명의료재단 마음편한병원,천용태,정신병원,의료법인,충청북도 보은군 보은읍 뱃들로 53-0,043-542-3100
1996-12-16,의료법인 최헌식기념의료재단 최병원,최완영,병원,의료법인,충청북도 청주시 흥덕구 사직대로 49 (복대동),043-264-0751
1996-04-25,대원교육재단 세명대학교 부속한방병원,김형순,한방병원,학교법인,"충청북도 제천시 세명로 66-0 (모산동,세명대한방병원)",043-645-1010
1995-03-01,제천현대병원,김효진,병원,의료법인,충청북도 제천시 의림대로 284 (청전동),043-644-7575
1995-10-27,의료법인 정산의료재단 효성병원,오창진,종합병원,의료법인,"충청북도 청주시 상당구 쇠내로 16-0 (금천동,효성병원)",043-221-5000
1994-04-11,의료법인 인화재단 한국병원,송재승,종합병원,의료법인,"충청북도 청주시 상당구 단재로 106-0 (영운동,한국병원)",043-222-7000
1993-06-14,의료법인 용은의료재단 충주요양병원,조광희,요양병원(일반요양병원),의료법인,"충청북도 충주시 중심3길 4-2 (문화동, (문화동))",043-843-9300
1992-03-13,의료법인 힐링의료재단 옥천성모병원,신영철,종합병원,의료법인,충청북도 옥천군 옥천읍 성왕로 1195-0 ( ),043-730-7000
1992-02-01,의료법인 자산의료재단 단양서울병원,박미령,병원,의료법인,충청북도 단양군 단양읍 삼봉로 341,043-423-0221
1992-03-18,대전대학교 청주한방병원,서정원,한방병원,학교법인,"충청북도 청주시 상당구 용담로105번길 4-0 (용담동,청주한방병원)",043-229-3787
1991-05-31,충북대학교병원,김원섭,종합병원,공립(기타),"충청북도 청주시 서원구 1순환로 776-0 (개신동,충북대학교병원)",043-269-6114
1990-05-11,의료법인 자산의료재단 제천서울병원,박미령,종합병원,의료법인,"충청북도 제천시 숭문로 57-0 (서부동,서울병원)",043-642-7606
1989-07-25,건국대학교 충주병원,유자은,종합병원,학교법인,"충청북도 충주시 국원대로 82-0 (교현동,건국대학교충주병원)",043-840-8200
1989-03-30,(재)예수의꽃동네유지재단 인곡자애병원,오웅진,병원,재단법인,충청북도 음성군 맹동면 꽃동네길 37-0,043-879-0301
1988-08-03,의료법인 음성소망의료재단 음성소망병원,이강표,정신병원,의료법인,충청북도 음성군 생극면 일생로 518-0 ( ),043-878-4111
1987-02-28,지방공사 충청북도충주의료원,배규룡,종합병원,특수법인,"충청북도 충주시 안림로 239-50 (안림동,충청북도충주의료원)",043-871-0114
1981-03-13,의료법인 청주병원,조임호,병원,의료법인,충청북도 청주시 상당구 상당로 163-0 (북문로3가),043-220-1234
1978-05-19,충청북도 청주의료원,김영규,종합병원,공립(지방의료원),"충청북도 청주시 서원구 흥덕로 48-0 (사직동,청주의료원)",043-279-2300
,,,,,,
